artist,0,1,2,3,4,5,6,7,8,9
Attila,0.0,0.0,0.0,0.0,0.0,0.062395547974922305,0.0,0.00016544981263241489,0.0,0.0
Au/Ra,0.0,0.0,0.012592556232674797,0.19420089772029556,0.0,0.0,0.0,0.0,0.0,0.0
Avelino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003427568963398923,0.0046853717138518065,0.0
Avicii,0.0,0.0,0.0,0.2090948504171664,0.0,0.0,0.0,0.0,0.0,0.0
Aviva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008402583040674897,0.0
Axos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9122058934015196e-05
Aya Nakamura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0611513226686374e-10
Ayax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.177789897457088e-05,0.0
Ayax y Prok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.177789897457088e-05,0.0
Ayben,0.0,0.0,0.0,0.0,1.4347199353452007e-06,0.0,0.0,0.0,0.0,1.3818948955657628e-06
Ayreon,0.0,0.0020219801717377794,0.0,0.0,0.0,0.07198573553557817,0.0,0.0,0.0,0.0
Ayten Alpman,0.0,0.0,0.0,0.0,0.00011019912245531776,0.0,0.0,0.0,0.0,6.800598265782314e-05
Azet,0.0,0.0,0.0,6.507178147628387e-06,0.0,0.0,0.0,0.0,0.0,3.438389084497279e-05
Azzi Memo,0.0,0.0,0.0,6.4795620830367565e-06,0.0,0.0,0.0,0.0,0.0,3.3808300823399033e-05
BAD WOLVES,0.0,0.0,0.0,0.0,0.0,0.30077257056346335,0.0,0.0,0.0,0.0
BB Nobre,0.0,0.0,0.0,1.1042758298665373e-05,0.0,0.0,0.0,0.0,0.0,0.0
BHZ,0.0,0.0,0.0,7.83674255777134e-06,0.0,0.0,0.0,0.0,0.0,4.1918989807261714e-05
BIA & Ariana Grande,0.0,0.0,0.0,0.0,0.0,5.496758219266351e-06,0.0,0.0036934227118836584,0.1263336801455611,0.0
BIGBANG,0.0,0.0,0.0,0.0,4.084028938214708e-06,5.35244204891688e-06,0.0,0.0,0.0,0.0
BJ the Chicago Kid,0.3518966382259002,0.0,0.0,0.0,0.0,0.0,0.08407271691068276,0.09338566193267793,0.4352157389899033,0.0
BOE Sosa,0.007209962895557856,0.0,0.0,0.0,0.0,0.0,0.0,0.0008587664188454936,0.0007809070990713714,0.0
BONES,0.03265881917069101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178139645315076,0.0
BRADO & MERO,0.0,0.0,0.0,6.4795620830367565e-06,0.0,0.0,0.0,0.0,0.0,3.380830082339903e-05
BROCKHAMPTON,0.23074984636203116,0.0,0.0,0.010641804346317505,0.0,0.0,0.015691879141404706,0.15072345802614953,0.0,0.0
BTS,0.0,0.0,0.0,0.0,4.084028938214708e-06,5.35244204891688e-06,0.0,0.0,0.0,0.0
Baauer,0.0,0.0,0.0007124857166187878,0.00954625242124217,0.0,0.0,0.0,0.0,0.0003448941077471655,0.0
Baby Bash,0.2851436898468797,0.0,0.0,0.07501283070843127,0.0,0.0,0.4161028741837457,0.23555951183057938,0.0,0.0
